"sub_sp","inter_sp","lag","correlation","site"
"Urophycis_tenuis","Amphipoda",8,0.271472524565329,"NE"
"Urophycis_tenuis","Amphipoda",9,0.298565812518084,"NE"
"Urophycis_tenuis","Amphipoda",10,0.32259027440474,"NE"
"Urophycis_tenuis","Amphipoda",11,0.342898546653976,"NE"
"Urophycis_tenuis","Amphipoda",12,0.359062691018748,"NE"
"Urophycis_tenuis","Amphipoda",13,0.370814707377249,"NE"
"Urophycis_tenuis","Amphipoda",14,0.378153108762828,"NE"
"Urophycis_tenuis","Amphipoda",15,0.381342040517961,"NE"
"Urophycis_tenuis","Amphipoda",16,0.380704022657669,"NE"
"Urophycis_tenuis","Amphipoda",-16,-0.387184503104172,"BC"
"Urophycis_tenuis","Amphipoda",-15,-0.38251062481926,"BC"
"Urophycis_tenuis","Amphipoda",-14,-0.373085263817411,"BC"
"Urophycis_tenuis","Amphipoda",-13,-0.359149367013044,"BC"
"Urophycis_tenuis","Amphipoda",-12,-0.341147267919114,"BC"
"Urophycis_tenuis","Amphipoda",-11,-0.319662091621444,"BC"
"Urophycis_tenuis","Amphipoda",-10,-0.295390787716046,"BC"
"Urophycis_tenuis","Amphipoda",-9,-0.269073934321757,"BC"
"Urophycis_tenuis","Amphipoda",-8,-0.241449249013724,"BC"
"Urophycis_tenuis","Amphipoda",-7,-0.213257830971262,"BC"
"Urophycis_tenuis","Amphipoda",-6,-0.185083428762185,"BC"
"Urophycis_tenuis","Amphipoda",-5,-0.157432181854913,"BC"
"Urophycis_tenuis","Amphipoda",-4,-0.130626798834908,"BC"
"Urophycis_tenuis","Amphipoda",-3,-0.104828952611592,"BC"
"Urophycis_tenuis","Amphipoda",-2,-0.0799985274714237,"BC"
"Urophycis_tenuis","Amphipoda",-1,-0.0559664461142979,"BC"
"Urophycis_tenuis","Amphipoda",0,-0.0324327886752779,"BC"
"Urophycis_tenuis","Amphipoda",1,0.00251970034368372,"BC"
"Urophycis_tenuis","Amphipoda",2,0.0342457584121597,"BC"
"Urophycis_tenuis","Amphipoda",3,0.0628794261029937,"BC"
"Urophycis_tenuis","Amphipoda",4,0.0884500066290333,"BC"
"Urophycis_tenuis","Amphipoda",5,0.110823101754181,"BC"
"Urophycis_tenuis","Amphipoda",6,0.130107278284966,"BC"
"Urophycis_tenuis","Amphipoda",7,0.146551421153641,"BC"
"Urophycis_tenuis","Amphipoda",8,0.160135478231144,"BC"
"Urophycis_tenuis","Amphipoda",9,0.171059895028507,"BC"
"Urophycis_tenuis","Amphipoda",10,0.179676839454367,"BC"
"Urophycis_tenuis","Amphipoda",11,0.186614694873292,"BC"
"Urophycis_tenuis","Amphipoda",12,0.192229328032937,"BC"
"Urophycis_tenuis","Amphipoda",13,0.19705273366976,"BC"
"Urophycis_tenuis","Amphipoda",14,0.201570187051016,"BC"
"Urophycis_tenuis","Amphipoda",15,0.206840073932557,"BC"
"Urophycis_tenuis","Amphipoda",16,0.213284653653494,"BC"
"Urophycis_regia","Amphipoda",-16,-0.442411302440513,"zi_SW"
"Urophycis_regia","Amphipoda",-15,-0.47711743940539,"zi_SW"
"Urophycis_regia","Amphipoda",-14,-0.512391690546355,"zi_SW"
"Urophycis_regia","Amphipoda",-13,-0.548203891276118,"zi_SW"
"Urophycis_regia","Amphipoda",-12,-0.584265683171962,"zi_SW"
"Urophycis_regia","Amphipoda",-11,-0.620476371989591,"zi_SW"
"Urophycis_regia","Amphipoda",-10,-0.656572137107839,"zi_SW"
"Urophycis_regia","Amphipoda",-9,-0.692419581551019,"zi_SW"
"Urophycis_regia","Amphipoda",-8,-0.727769875088637,"zi_SW"
"Urophycis_regia","Amphipoda",-7,-0.762281479507902,"zi_SW"
"Urophycis_regia","Amphipoda",-6,-0.795859645283357,"zi_SW"
"Urophycis_regia","Amphipoda",-5,-0.828305887818485,"zi_SW"
"Urophycis_regia","Amphipoda",-4,-0.859410235585178,"zi_SW"
"Urophycis_regia","Amphipoda",-3,-0.889087987642916,"zi_SW"
"Urophycis_regia","Amphipoda",-2,-0.917211927743329,"zi_SW"
"Urophycis_regia","Amphipoda",-1,-0.943682903377701,"zi_SW"
"Urophycis_regia","Amphipoda",0,-0.96855404355597,"zi_SW"
"Urophycis_regia","Amphipoda",1,-0.928751117488575,"zi_SW"
"Urophycis_regia","Amphipoda",2,-0.88836845696852,"zi_SW"
"Urophycis_regia","Amphipoda",3,-0.846844319156738,"zi_SW"
"Urophycis_regia","Amphipoda",4,-0.805136519412696,"zi_SW"
"Urophycis_regia","Amphipoda",5,-0.763190104926762,"zi_SW"
"Urophycis_regia","Amphipoda",6,-0.720619442745738,"zi_SW"
"Urophycis_regia","Amphipoda",7,-0.677782811728014,"zi_SW"
"Urophycis_regia","Amphipoda",8,-0.634608458609156,"zi_SW"
"Urophycis_regia","Amphipoda",9,-0.591055661817853,"zi_SW"
"Urophycis_regia","Amphipoda",10,-0.548615549777902,"zi_SW"
"Urophycis_regia","Amphipoda",11,-0.505500934849038,"zi_SW"
"Urophycis_regia","Amphipoda",12,-0.463116084309775,"zi_SW"
"Urophycis_regia","Amphipoda",13,-0.420760740674344,"zi_SW"
"Urophycis_regia","Amphipoda",14,-0.378813139141725,"zi_SW"
"Urophycis_regia","Amphipoda",15,-0.338057111062609,"zi_SW"
"Urophycis_regia","Amphipoda",16,-0.297663194086435,"zi_SW"
"Urophycis_regia","Amphipoda",-16,0.146971079611219,"zi_SE"
"Urophycis_regia","Amphipoda",-15,0.19445619580025,"zi_SE"
"Urophycis_regia","Amphipoda",-14,0.243228424670719,"zi_SE"
"Urophycis_regia","Amphipoda",-13,0.293117077404051,"zi_SE"
"Urophycis_regia","Amphipoda",-12,0.343953247251569,"zi_SE"
"Urophycis_regia","Amphipoda",-11,0.395488043283037,"zi_SE"
"Urophycis_regia","Amphipoda",-10,0.447630564344268,"zi_SE"
"Urophycis_regia","Amphipoda",-9,0.499878596081666,"zi_SE"
"Urophycis_regia","Amphipoda",-8,0.552362618378296,"zi_SE"
"Urophycis_regia","Amphipoda",-7,0.604844626969183,"zi_SE"
"Urophycis_regia","Amphipoda",-6,0.657060328842948,"zi_SE"
"Urophycis_regia","Amphipoda",-5,0.708960287680562,"zi_SE"
"Urophycis_regia","Amphipoda",-4,0.760348059608713,"zi_SE"
"Urophycis_regia","Amphipoda",-3,0.811130669033536,"zi_SE"
"Urophycis_regia","Amphipoda",-2,0.861173905086493,"zi_SE"
"Urophycis_regia","Amphipoda",-1,0.910574571622138,"zi_SE"
"Urophycis_regia","Amphipoda",0,0.959074753038348,"zi_SE"
"Urophycis_regia","Amphipoda",1,0.933122224554315,"zi_SE"
